STRUCTURE;STRUCTURE_ID;STRUCTURE_NAME;ACTION;FREQ;Fréquence;GEO_PICT;Pays et territoires insulaires du Pacifique;INDICATOR;Indicateur;SEX;Sexe;AGE;Âge;URBANIZATION;Urbanisation;DISABILITY;Invalidité;EDUCATION;Niveau d'éducation;TIME_PERIOD;Période;OBS_VALUE;Valeur observée;UNIT_MEASURE;Unité de mesure;UNIT_MULT;Multiplicateur d'unités;OBS_STATUS;Statut de l'observation;DATA_SOURCE;Source de données;OBS_COMMENT;Commentaire;CONF_STATUS;Confidentialité
DATAFLOW;SPC:DF_EDUCATION(1.0);Niveau d'éducation atteint par pays, âge, sexe, urbanisation et statut de handicap;I;A;Annuel;KI;Kiribati;POPCNT;Population;_T;Total;_T;Tous les âges;_T;National;_T;Pas de ventilation par handicap;_T;Tous les niveaux d'enseignement;2020;;53430;;N;unités;;;;;;;;;;
DATAFLOW;SPC:DF_EDUCATION(1.0);Niveau d'éducation atteint par pays, âge, sexe, urbanisation et statut de handicap;I;A;Annuel;KI;Kiribati;POPCNT;Population;_T;Total;_T;Tous les âges;_T;National;_T;Pas de ventilation par handicap;0;L'éducation de la petite enfance;2020;;1804;;N;unités;;;;;;;;;;
DATAFLOW;SPC:DF_EDUCATION(1.0);Niveau d'éducation atteint par pays, âge, sexe, urbanisation et statut de handicap;I;A;Annuel;KI;Kiribati;POPCNT;Population;_T;Total;_T;Tous les âges;_T;National;_T;Pas de ventilation par handicap;1;Enseignement primaire;2020;;6470;;N;unités;;;;;;;;;;
DATAFLOW;SPC:DF_EDUCATION(1.0);Niveau d'éducation atteint par pays, âge, sexe, urbanisation et statut de handicap;I;A;Annuel;KI;Kiribati;POPCNT;Population;_T;Total;_T;Tous les âges;_T;National;_T;Pas de ventilation par handicap;2;Enseignement secondaire inférieur;2020;;20496;;N;unités;;;;;;;;;;
DATAFLOW;SPC:DF_EDUCATION(1.0);Niveau d'éducation atteint par pays, âge, sexe, urbanisation et statut de handicap;I;A;Annuel;KI;Kiribati;POPCNT;Population;_T;Total;_T;Tous les âges;_T;National;_T;Pas de ventilation par handicap;3;L'enseignement secondaire supérieur;2020;;20820;;N;unités;;;;;;;;;;
DATAFLOW;SPC:DF_EDUCATION(1.0);Niveau d'éducation atteint par pays, âge, sexe, urbanisation et statut de handicap;I;A;Annuel;KI;Kiribati;POPCNT;Population;_T;Total;_T;Tous les âges;_T;National;_T;Pas de ventilation par handicap;4;Enseignement post-secondaire non supérieur;2020;;956;;N;unités;;;;;;;;;;
DATAFLOW;SPC:DF_EDUCATION(1.0);Niveau d'éducation atteint par pays, âge, sexe, urbanisation et statut de handicap;I;A;Annuel;KI;Kiribati;POPCNT;Population;_T;Total;_T;Tous les âges;_T;National;_T;Pas de ventilation par handicap;5-8;Éducation tertiaire;2020;;1844;;N;unités;;;;;;;;;;
DATAFLOW;SPC:DF_EDUCATION(1.0);Niveau d'éducation atteint par pays, âge, sexe, urbanisation et statut de handicap;I;A;Annuel;KI;Kiribati;POPCNT;Population;_T;Total;_T;Tous les âges;_T;National;_T;Pas de ventilation par handicap;9;Niveau non indiqué;2020;;1040;;N;unités;;;;;;;;;;
DATAFLOW;SPC:DF_EDUCATION(1.0);Niveau d'éducation atteint par pays, âge, sexe, urbanisation et statut de handicap;I;A;Annuel;KI;Kiribati;POPCNT;Population;_T;Total;_T;Tous les âges;_T;National;PD;Personnes handicapées;_T;Tous les niveaux d'enseignement;2020;;4516;;N;unités;;;;;;;;;;
DATAFLOW;SPC:DF_EDUCATION(1.0);Niveau d'éducation atteint par pays, âge, sexe, urbanisation et statut de handicap;I;A;Annuel;KI;Kiribati;POPCNT;Population;_T;Total;_T;Tous les âges;_T;National;PD;Personnes handicapées;0;L'éducation de la petite enfance;2020;;595;;N;unités;;;;;;;;;;
DATAFLOW;SPC:DF_EDUCATION(1.0);Niveau d'éducation atteint par pays, âge, sexe, urbanisation et statut de handicap;I;A;Annuel;KI;Kiribati;POPCNT;Population;_T;Total;_T;Tous les âges;_T;National;PD;Personnes handicapées;1;Enseignement primaire;2020;;1125;;N;unités;;;;;;;;;;
DATAFLOW;SPC:DF_EDUCATION(1.0);Niveau d'éducation atteint par pays, âge, sexe, urbanisation et statut de handicap;I;A;Annuel;KI;Kiribati;POPCNT;Population;_T;Total;_T;Tous les âges;_T;National;PD;Personnes handicapées;2;Enseignement secondaire inférieur;2020;;1929;;N;unités;;;;;;;;;;
DATAFLOW;SPC:DF_EDUCATION(1.0);Niveau d'éducation atteint par pays, âge, sexe, urbanisation et statut de handicap;I;A;Annuel;KI;Kiribati;POPCNT;Population;_T;Total;_T;Tous les âges;_T;National;PD;Personnes handicapées;3;L'enseignement secondaire supérieur;2020;;655;;N;unités;;;;;;;;;;
DATAFLOW;SPC:DF_EDUCATION(1.0);Niveau d'éducation atteint par pays, âge, sexe, urbanisation et statut de handicap;I;A;Annuel;KI;Kiribati;POPCNT;Population;_T;Total;_T;Tous les âges;_T;National;PD;Personnes handicapées;4;Enseignement post-secondaire non supérieur;2020;;41;;N;unités;;;;;;;;;;
DATAFLOW;SPC:DF_EDUCATION(1.0);Niveau d'éducation atteint par pays, âge, sexe, urbanisation et statut de handicap;I;A;Annuel;KI;Kiribati;POPCNT;Population;_T;Total;_T;Tous les âges;_T;National;PD;Personnes handicapées;5-8;Éducation tertiaire;2020;;61;;N;unités;;;;;;;;;;
DATAFLOW;SPC:DF_EDUCATION(1.0);Niveau d'éducation atteint par pays, âge, sexe, urbanisation et statut de handicap;I;A;Annuel;KI;Kiribati;POPCNT;Population;_T;Total;_T;Tous les âges;_T;National;PD;Personnes handicapées;9;Niveau non indiqué;2020;;110;;N;unités;;;;;;;;;;
DATAFLOW;SPC:DF_EDUCATION(1.0);Niveau d'éducation atteint par pays, âge, sexe, urbanisation et statut de handicap;I;A;Annuel;KI;Kiribati;POPCNT;Population;_T;Total;_T;Tous les âges;_T;National;PWD;Personnes sans handicap;_T;Tous les niveaux d'enseignement;2020;;48914;;N;unités;;;;;;;;;;
DATAFLOW;SPC:DF_EDUCATION(1.0);Niveau d'éducation atteint par pays, âge, sexe, urbanisation et statut de handicap;I;A;Annuel;KI;Kiribati;POPCNT;Population;_T;Total;_T;Tous les âges;_T;National;PWD;Personnes sans handicap;0;L'éducation de la petite enfance;2020;;1209;;N;unités;;;;;;;;;;
DATAFLOW;SPC:DF_EDUCATION(1.0);Niveau d'éducation atteint par pays, âge, sexe, urbanisation et statut de handicap;I;A;Annuel;KI;Kiribati;POPCNT;Population;_T;Total;_T;Tous les âges;_T;National;PWD;Personnes sans handicap;1;Enseignement primaire;2020;;5345;;N;unités;;;;;;;;;;
DATAFLOW;SPC:DF_EDUCATION(1.0);Niveau d'éducation atteint par pays, âge, sexe, urbanisation et statut de handicap;I;A;Annuel;KI;Kiribati;POPCNT;Population;_T;Total;_T;Tous les âges;_T;National;PWD;Personnes sans handicap;2;Enseignement secondaire inférieur;2020;;18567;;N;unités;;;;;;;;;;
DATAFLOW;SPC:DF_EDUCATION(1.0);Niveau d'éducation atteint par pays, âge, sexe, urbanisation et statut de handicap;I;A;Annuel;KI;Kiribati;POPCNT;Population;_T;Total;_T;Tous les âges;_T;National;PWD;Personnes sans handicap;3;L'enseignement secondaire supérieur;2020;;20165;;N;unités;;;;;;;;;;
DATAFLOW;SPC:DF_EDUCATION(1.0);Niveau d'éducation atteint par pays, âge, sexe, urbanisation et statut de handicap;I;A;Annuel;KI;Kiribati;POPCNT;Population;_T;Total;_T;Tous les âges;_T;National;PWD;Personnes sans handicap;4;Enseignement post-secondaire non supérieur;2020;;915;;N;unités;;;;;;;;;;
DATAFLOW;SPC:DF_EDUCATION(1.0);Niveau d'éducation atteint par pays, âge, sexe, urbanisation et statut de handicap;I;A;Annuel;KI;Kiribati;POPCNT;Population;_T;Total;_T;Tous les âges;_T;National;PWD;Personnes sans handicap;5-8;Éducation tertiaire;2020;;1783;;N;unités;;;;;;;;;;
DATAFLOW;SPC:DF_EDUCATION(1.0);Niveau d'éducation atteint par pays, âge, sexe, urbanisation et statut de handicap;I;A;Annuel;KI;Kiribati;POPCNT;Population;_T;Total;_T;Tous les âges;_T;National;PWD;Personnes sans handicap;9;Niveau non indiqué;2020;;930;;N;unités;;;;;;;;;;
