STRUCTURE;STRUCTURE_ID;STRUCTURE_NAME;ACTION;FREQ;Fréquence;GEO_PICT;Pays et territoires insulaires du Pacifique;INDICATOR;Indicateur;SEX;Sexe;AGE;Âge;URBANIZATION;Urbanisation;DISABILITY;Invalidité;COMPOSITE_BREAKDOWN;Ventilation composite;TIME_PERIOD;Période;OBS_VALUE;Valeur observée;UNIT_MEASURE;Unité de mesure;UNIT_MULT;Multiplicateur d'unités;OBS_STATUS;Statut de l'observation;OBS_COMMENT;Commentaire;DATA_SOURCE;Source de données
DATAFLOW;SPC:DF_NMDI_EDU(1.0);Indicateurs Minima du Développement National (IMDN) pour la l'Éducation;I;A;Annuel;NU;Niue;NMDI0020;Part des dépenses publiques consacrées au secteur de l'éducation (en % du total);_T;Total;_T;Tous les âges;_T;National;_T;Pas de ventilation par handicap;_Z;N'est pas applicable;1998;;5.74;;;;;;;;;;"NSO Website - Niue - Economic ";
DATAFLOW;SPC:DF_NMDI_EDU(1.0);Indicateurs Minima du Développement National (IMDN) pour la l'Éducation;I;A;Annuel;NU;Niue;NMDI0020;Part des dépenses publiques consacrées au secteur de l'éducation (en % du total);_T;Total;_T;Tous les âges;_T;National;_T;Pas de ventilation par handicap;_Z;N'est pas applicable;1999;;6;;;;;;;;;;"NSO Website - Niue - Economic ";
DATAFLOW;SPC:DF_NMDI_EDU(1.0);Indicateurs Minima du Développement National (IMDN) pour la l'Éducation;I;A;Annuel;NU;Niue;NMDI0020;Part des dépenses publiques consacrées au secteur de l'éducation (en % du total);_T;Total;_T;Tous les âges;_T;National;_T;Pas de ventilation par handicap;_Z;N'est pas applicable;2000;;5.78;;;;;;;;;;"NSO Website - Niue - Economic ";
DATAFLOW;SPC:DF_NMDI_EDU(1.0);Indicateurs Minima du Développement National (IMDN) pour la l'Éducation;I;A;Annuel;NU;Niue;NMDI0020;Part des dépenses publiques consacrées au secteur de l'éducation (en % du total);_T;Total;_T;Tous les âges;_T;National;_T;Pas de ventilation par handicap;_Z;N'est pas applicable;2001;;6.17;;;;;;;;;;"NSO Website - Niue - Economic ";
DATAFLOW;SPC:DF_NMDI_EDU(1.0);Indicateurs Minima du Développement National (IMDN) pour la l'Éducation;I;A;Annuel;NU;Niue;NMDI0020;Part des dépenses publiques consacrées au secteur de l'éducation (en % du total);_T;Total;_T;Tous les âges;_T;National;_T;Pas de ventilation par handicap;_Z;N'est pas applicable;2002;;7.85;;;;;;;;;;"NSO Website - Niue - Economic ";
DATAFLOW;SPC:DF_NMDI_EDU(1.0);Indicateurs Minima du Développement National (IMDN) pour la l'Éducation;I;A;Annuel;NU;Niue;NMDI0020;Part des dépenses publiques consacrées au secteur de l'éducation (en % du total);_T;Total;_T;Tous les âges;_T;National;_T;Pas de ventilation par handicap;_Z;N'est pas applicable;2003;;9.21;;;;;;;;;;"NSO Website - Niue - Economic ";
DATAFLOW;SPC:DF_NMDI_EDU(1.0);Indicateurs Minima du Développement National (IMDN) pour la l'Éducation;I;A;Annuel;NU;Niue;NMDI0020;Part des dépenses publiques consacrées au secteur de l'éducation (en % du total);_T;Total;_T;Tous les âges;_T;National;_T;Pas de ventilation par handicap;_Z;N'est pas applicable;2004;;7.01;;;;;;;;;;"NSO Website - Niue - Economic ";
DATAFLOW;SPC:DF_NMDI_EDU(1.0);Indicateurs Minima du Développement National (IMDN) pour la l'Éducation;I;A;Annuel;NU;Niue;NMDI0020;Part des dépenses publiques consacrées au secteur de l'éducation (en % du total);_T;Total;_T;Tous les âges;_T;National;_T;Pas de ventilation par handicap;_Z;N'est pas applicable;2010;;7.04;;;;;;;;;;Niue - MOF - Budget Appropriation 2011;
DATAFLOW;SPC:DF_NMDI_EDU(1.0);Indicateurs Minima du Développement National (IMDN) pour la l'Éducation;I;A;Annuel;NU;Niue;NMDI0020;Part des dépenses publiques consacrées au secteur de l'éducation (en % du total);_T;Total;_T;Tous les âges;_T;National;_T;Pas de ventilation par handicap;_Z;N'est pas applicable;2011;;7.09;;;;;;;;;;Niue - MOF - Budget Appropriation 2011;
DATAFLOW;SPC:DF_NMDI_EDU(1.0);Indicateurs Minima du Développement National (IMDN) pour la l'Éducation;I;A;Annuel;NU;Niue;NMDI0020;Part des dépenses publiques consacrées au secteur de l'éducation (en % du total);_T;Total;_T;Tous les âges;_T;National;_T;Pas de ventilation par handicap;_Z;N'est pas applicable;2012;;8.83;;;;;;;;;;Niue - 2011/12 Budget;
